"Agency","Route","Direction","Service Key","Language","Rule: MERGE, FORCE","Soure Timepoint","Printed Timepoint","FN Symbol","Footnote (FN)","FN Sequence"
"","4","Inbound","*","en","FORCE","12786","12780","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 2 & 32 minutes past the hour.","10"
"","4","Outbound","*","en","MERGE","12772","12769","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2 & 32 minutes past the hour for direct connections from other lines.","10"
"","104","Inbound","*","en","FORCE","12772","12769","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 2 & 32 minutes past the hour.","10"
"","104","Outbound","*","en","MERGE","12786","12780","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2 & 32 minutes past the hour for direct connections from other lines.","10"
"","108","Inbound","Weekday","en","FORCE","12771","12768","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 2 & 32 minutes past the hour.","10"
"","108","Inbound","Saturday","en","FORCE","12771","12768","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 2 & 32 minutes past the hour.","10"
"","108","Inbound","Sunday","en","FORCE","12771","12768","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","8","Outbound","Weekday","en","MERGE","12771","12768","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2 & 32 minutes past the hour for direct connections from other lines.","10"
"","8","Outbound","Saturday","en","MERGE","12771","12768","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2 & 32 minutes past the hour for direct connections from other lines.","10"
"","8","Outbound","Sunday","en","MERGE","12771","12768","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","9","Inbound","*","en","FORCE","12787","12780","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","9","Outbound","*","en","MERGE","12774","12768","A","Board at SOURCE.NAME (Stop ID SOURCE.ID). Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","109","Inbound","*","en","FORCE","12771","12768","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","109","Outbound","*","en","MERGE","12787","12780","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","109","Outbound","*","en","MERGE","4710","4542",,,"0"
"","109","Inbound","*","en","MERGE","4710","4543",,,"0"
"","12","Inbound","*","en","FORCE","12773","12767","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 2 & 32 minutes past the hour.","10"
"","12","Outbound","*","en","MERGE","12787","12781","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2 & 32 minutes past the hour for direct connections from other lines.","10"
"","112","Outbound","*","en","MERGE","12773","12767","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2 & 32 minutes past the hour for direct connections from other lines.","10"
"","112","Inbound","*","en","FORCE","12787","12781","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 2 & 32 minutes past the hour.","10"
"","17","Inbound","*","en","FORCE","12785","12780","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","17","Outbound","*","en","MERGE","12772","12767","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","117","Inbound","*","en","FORCE","12772","12767","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","117","Outbound","*","en","MERGE","12785","12780","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","19","Inbound","Weekday","en","FORCE","12786","12780","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 2 & 32 minutes past the hour.","10"
"","19","Inbound","Saturday","en","FORCE","12786","12780","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","19","Inbound","Sunday","en","FORCE","12786","12780","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","19","Outbound","Weekday","en","MERGE","12773","12767","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2 & 32 minutes past the hour for direct connections from other lines.","10"
"","19","Outbound","Saturday","en","MERGE","12773","12767","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","19","Outbound","Sunday","en","MERGE","12773","12767","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","119","Outbound","Weekday","en","MERGE","12786","12780","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2 & 32 minutes past the hour for direct connections from other lines.","10"
"","119","Outbound","Saturday","en","MERGE","12786","12780","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","119","Outbound","Sunday","en","MERGE","12786","12780","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","119","Inbound","Weekday","en","FORCE","12773","12767","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 2 & 32 minutes past the hour.","10"
"","119","Inbound","Saturday","en","FORCE","12773","12767","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","119","Inbound","Sunday","en","FORCE","12773","12767","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","119","Outbound","*","en","MERGE","1728","1764","*","Arrives at Flavel & 90th Ave East (Stop ID 1728)","10"
"","89","*","*","en","MERGE","10057","10039",,,"0"
"","31","*","*","en","MERGE","8181","8183",,,"0"
"","31","*","Weekday","en","FORCE","8220","8220",,,"0"
"","133","Inbound","*","en","FORCE","12785","12779","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","133","Outbound","*","en","MERGE","12771","12768","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","33","Outbound","*","en","MERGE","12785","12779","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","33","Inbound","*","en","FORCE","12771","12768","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.","10"
"","33","Outbound","*","en","MERGE","12785","12779","A","Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.","10"
"","33","Outbound","*","en","MERGE","8225","8225",,,"0"
"","43","Inbound","*","en","MERGE","3052","12792",,,"0"
"TriMet","58","Inbound","*","","FORCE","12791","12793","A","Arrives at SOURCE.NAME (Stop ID SOURCE.ID).","10"
"TriMet","90","Inbound","*","","MERGE","9821","9818",,,"0"
"TriMet","36","Inbound","*","","MERGE","8207","8208",,,"0"
"TriMet","75","Inbound","*","","MERGE","7546","7548",,,"0"
"TriMet","56","Outbound","*","","MERGE","5184","350","","<B>Note:</B> At PRINTED.NAME Line 56 uses Stop ID SOURCE.ID, Line 54 uses Stop ID PRINTED.ID","45"
