"Agency","Route","Direction","Service Key","Language","Route Name","Service Key Name","Destination","Show Stop ID"
"","101","Inbound","Weekday","en",,,"To Portland City Center","true"
"","101","Inbound","Saturday","en",,,"To Burlingame","true"
"","53","Inbound","Weekday","en",,,"Evening Loop","true"
"","53","Outbound","Weekday","en",,,"Morning Loop","true"
"","4","Inbound","*","en",,,"To Portland City Center","true"
"","6","Inbound","*","en",,,"To Portland City Center","true"
"","6","Outbound","*","en",,,"To Vancouver","true"
"","8","Inbound","*","en",,,"To Portland City Center","true"
"","9","Inbound","*","en",,,"To Portland City Center","true"
"","12","Inbound","*","en",,,"To Portland City Center","true"
"","115","Inbound","*","en",,,"To Portland City Center","true"
"","15","Inbound","*","en",,,"To Portland City Center","true"
"","16","Outbound","Weekday","en",,,"To Vancouver Way & Middlefield","true"
"","16","Inbound","Weekday","en",,,"To Portland City Center","true"
"","16","Outbound","Saturday","en",,,"To Jubitz","true"
"","16","Inbound","Saturday","en",,,"To Rivergate","true"
"","16","Outbound","Sunday","en",,,"To St Johns or Jubitz","true"
"","16","Inbound","Sunday","en",,,"To Portland City Center","true"
"","17","Outbound","Weekday","en",,,"To Montgomery Park or Sauvie Island","true"
"","17","Outbound","Saturday","en",,,"To Montgomery Park or Sauvie Island","true"
"","17","Outbound","Sunday","en",,,"To Montgomery Park","true"
"","17","Inbound","*","en",,,"To Portland City Center","true"
"","18","Inbound","*","en","","","","true"
"","18","Outbound","*","en","","","","true"
"","19","Inbound","*","en",,,"To Portland City Center","true"
"","31","Inbound","Weekday","en",,,"To Milwaukie TC or Portland City Center","true"
"","31","Inbound","Saturday","en",,,"To Milwaukie TC","true"
"","31","Inbound","Sunday","en",,,"To Milwaukie TC","true"
"","31","Outbound","Sunday","en",,,"To Clackamas Town Center","true"
"","32","Inbound","Saturday","en",,,"To Oregon City TC","true"
"","32","Inbound","Weekday","en",,,"To Milwaukie TC or Portland City Center","true"
"","33","Inbound","*","en",,,"To Portland City Center","true"
"","35","Inbound","*","en",,,"To Portland City Center","true"
"","38","Inbound","*","en",,,"To Portland City Center","true"
"","41","Inbound","*","en",,,"To Portland City Center","true"
"","43","Inbound","*","en",,,"To Portland City Center","true"
"","44","Inbound","*","en",,,"To Portland City Center","true"
"","45","Inbound","*","en",,,"To Portland City Center","true"
"","51","Inbound","*","en",,,"To Portland City Center","true"
"","54","Inbound","*","en",,,"To Portland City Center","true"
"","55","Inbound","*","en",,,"To Portland City Center","true"
"","56","Inbound","*","en",,,"To Portland City Center","true"
"","58","Inbound","*","en",,,"To Portland City Center","true"
"","59","Outbound","*","en",,,"To Willow Creek/SW 185th Ave TC","true"
"","63","Inbound","*","en",,,"To Portland City Center","true"
"","65","Outbound","*","en",,,"To Burlingame","true"
"","104","Inbound","*","en",,,"To Portland City Center","true"
"","108","Inbound","*","en",,,"To Portland City Center","true"
"","108","Outbound","*","en",,,"To Marquam Hill","true"
"","99","Inbound","*","en",,,"To Portland City Center","true"
"","110","Inbound","*","en",,,"To Portland City Center","true"
"","112","Outbound","*","en",,,"To Parkrose/Sumner or Gresham TC","true"
"","112","Inbound","*","en",,,"To Portland City Center","true"
"","117","Inbound","*","en",,,"To Portland City Center","true"
"","117","Outbound","*","en",,,"To Holgate & 134th Dr","true"
"","119","Inbound","*","en",,,"To Portland City Center","true"
"","133","Inbound","*","en",,,"To Portland City Center","true"
"","135","Inbound","*","en",,,"To Portland City Center","true"
"","144","Inbound","*","en",,,"To Portland City Center","true"
"","52","Outbound","Sunday","en",,,"To 185th & West Union","true"
"","101","Outbound","Saturday","en",,,"To Vermont & Shattuck","true"
"","14","Inbound","*","en",,,"To Portland City Center","true"
"","109","Inbound","*","en",,,"To Portland City Center","true"
"","109","Outbound","*","en",,,"To Powell & 98th or Gresham TC","true"
"","10","Inbound","*","en",,,"To Portland City Center","true"
"","87","Inbound","*","en",,,"To Parkrose/Sumner Transit Center","true"
"","87","Outbound","*","en",,,"To Rockwood TC","true"
"","92","Inbound","*","en",,,"To Portland City Center","true"
"","94","Inbound","*","en",,,"To Portland City Center","true"
"","96","Inbound","*","en",,,"To Portland City Center","true"
"","90","Inbound","*","en",,,"Westbound to Portland City Center and Beaverton TC","true"
"","90","Outbound","*","en",,,"Eastbound to Portland City Center and Airport","true"
"","100","Outbound","*","en",,,"Eastbound to Portland City Center and Gresham","true"
"","100","Inbound","*","en",,,"Westbound to Portland City Center and Hillsboro","true"
"","190","Inbound","*","en",,,"To City Center","true"
"","190","Outbound","*","en",,,"To Expo Center","true"
"","193","Inbound","*","en",,,"To South Waterfront","false"
"","193","Outbound","*","en",,,"To Good Samaritan Hospital","false"
"","MAXBlueBook","Inbound","*","en","MAX Blue Line (book)",,"Westbound to Portland City Center and Hillsboro","true"
"","MAXBlueBook","Outbound","*","en","MAX Blue Line (book)",,"Eastbound to Portland City Center and Gresham","true"
"","MAXRedBook","Inbound","*","en","MAX Red Line (book)",,"Westbound to Portland City Center and Beaverton TC","true"
"","MAXRedBook","Outbound","*","en","MAX Red Line (book)",,"Eastbound to Portland City Center and Airport","true"
"","10090","Inbound","*","en","Max Blue & Red Line",,"Westbound to Portland City Center and Beaverton Transit Center or Hillsboro","true"
"","10090","Outbound","*","en","Max Blue & Red Line",,"Eastbound to Portland City Center and Gresham or Airport","true"
"","254","Inbound","*","en","54-Beaverton-Hillsdale Hwy, 56-Scholls Ferry Rd",,"To Portland City Center","true"
"","254","Outbound","*","en","54-Beaverton-Hillsdale Hwy, 56-Scholls Ferry Rd",,"To Beaverton TC or Washington Square","true"
"","280","Inbound","*","en","80-Kane Rd/Troutdale Rd,  81-Kane Rd/257th Ave",,"To Gresham Transit Center","true"
"","280","Outbound","*","en","80-Kane Rd/Troutdale Rd, 81-Kane Rd/257th Ave",,"To Troutdale","true"
"","155156","Inbound","Sunday","en","155-Sunnyside, 156-Mather Rd",,"To Clackamas Town Center","true"
"","155156","Outbound","Sunday","en","155-Sunnyside, 156-Mather Rd",,"To 147th & Oregon Trail","true"
"TriMet","93","Inbound","*","",,,"Westbound to Portland City Center","true"
"TriMet","93","Outbound","*","",,,"Eastbound to Lloyd Center","true"
